source,year,isolate_id,species_id,MDR,antibiotic,abx_class,zone_diameter,phenotype
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Cefotaxime CTX30,Cephalosporins ,44,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,ceftriaxone CRO30,Cephalosporins ,37,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Ciprofloxacin CIP1,Quinolones,39,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Doxycycline DO30,Tetracylines ,27,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Imipenem IPM10,Carbapenemems,28,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Meropenem MEM10,Carbapenemems,30,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Gentamycin  GM10,Aminoglycosides ,22,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Erythromycin  EM15,Macrolides,21,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU14-3,A. bestarium,0,Mecillinam MEL10,Beta-lactams,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Cefotaxime CTX30,Cephalosporins ,38,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,ceftriaxone CRO30,Cephalosporins ,38,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Ciprofloxacin CIP1,Quinolones,37,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Doxycycline DO30,Tetracylines ,25,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Tetracycline TE30,Tetracylines ,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Imipenem IPM10,Carbapenemems,24,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Meropenem MEM10,Carbapenemems,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Gentamycin  GM10,Aminoglycosides ,20,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,31,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,45,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,45,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Oxolinic acid OA,Quinolones,35,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Doxycycline DO30,Tetracylines ,25,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Imipenem IPM10,Carbapenemems,22,I
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Meropenem MEM10,Carbapenemems,35,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,23,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Erythromycin  EM15,Macrolides,18,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,29,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,38,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,32,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,38,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,24,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,26,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,31,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,19,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,16,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,34,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,27,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,39,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,44,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Doxycycline DO30,Tetracylines ,26,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Imipenem IPM10,Carbapenemems,33,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Meropenem MEM10,Carbapenemems,38,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,19,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,19,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Erythromycin  EM15,Macrolides,18,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU38-1,A. media ?,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Cefotaxime CTX30,Cephalosporins ,30,S
Retail sushi,2015.0,SU38-1,A. media ?,0,ceftriaxone CRO30,Cephalosporins ,29,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Ciprofloxacin CIP1,Quinolones,41,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Oxolinic acid OA,Quinolones,35,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Doxycycline DO30,Tetracylines ,29,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Imipenem IPM10,Carbapenemems,33,S
