source,year,isolate_id,species_id,MDR,Ampicillin AMP10,Cefotaxime CTX30,Ciprofloxacin CIP1,Doxycycline DO30,Erythromycin  EM15,Florfenicol  FEC30,Gentamycin  GM10,Imipenem IPM10,Mecillinam MEL10,Meropenem MEM10,Oxolinic acid OA,Tetracycline TE30,Tobramycin TOB30,Trimethoprim/sulfamethoxazole  STX 25,ceftriaxone CRO30
Retail sushi,2019.0,SU14,A. rivipollensis,1,R,S,S,S,R,R,S,S,S,S,I,S,S,S,S
Retail sushi,2019.0,SU15,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,R,S,S,S,S
Retail sushi,2019.0,SU16,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,S
Retail sushi,2019.0,SU17,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,S
Retail sushi,2019.0,SU18,A. rivipollensis,1,R,S,S,S,R,R,S,S,S,S,I,S,S,S,S
Retail sushi,2019.0,SU2,A. rivipollensis,1,R,R,S,S,R,R,S,S,S,S,I,S,S,S,I
Retail sushi,2019.0,SU3,A. rivipollensis,1,R,R,S,S,R,R,S,S,S,S,R,S,S,S,I
Retail sushi,2019.0,SU4,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,R,S,S,S,I
Retail sushi,2019.0,SU5,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,R,S,S,S,I
Retail sushi,2019.0,SU6,A. rivipollensis,1,R,S,S,S,R,R,S,S,S,S,R,S,S,S,I
Retail sushi,2019.0,SU7,A. rivipollensis,1,R,S,S,S,R,R,S,S,S,S,R,S,S,S,I
Retail sushi,2019.0,SU8,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,S
Retail sushi,2019.0,SU9,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,R,S,S,S,I
Salmon loins,2019.0,SL19,A.salmonicida,1,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
Salmon loins,2019.0,SL21,A.salmonicida,1,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
Salmon loins,2019.0,SL22,A.bestiarum,1,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
Scallops,2019.0,SC42,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,I
Scallops,2019.0,SC43,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,I
Scallops,2019.0,SC44,A. rivipollensis,1,R,I,S,S,R,R,S,S,S,S,I,S,S,S,I
Scallops,2019.0,SC45,A.salmonicida,1,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
equipment in slaughterhouse (SPE),2018.0,LJP452,A.salmonicida,0,R,S,S,S,S,S,S,S,S,S,R,S,S,S,S
fish skin (SPE),2019.0,LJP872,A.salmonicida,0,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
fish skin (SPE),2019.0,LJP886,A.salmonicida,0,R,S,S,S,S,S,S,I,S,S,S,S,S,S,S
fish skin (SPE),2019.0,LJP897,A.salmonicida,0,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
fish skin (SPE),2019.0,LJP900,A.salmonicida,0,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
gutting machine (SPE),2018.0,LJP441,A.salmonicida,0,R,S,S,S,S,S,S,I,S,S,S,S,S,S,S
